textureId,smoothness,reflectance,emission
blocks/anvil_base,158,230,0
blocks/anvil_top_damaged_0,150,230,0
blocks/anvil_top_damaged_1,143,230,0
blocks/anvil_top_damaged_2,158,230,0
blocks/beacon,158,16,200
blocks/bed_feet_end,31,10,0
blocks/bed_feet_side,28,9,0
blocks/bed_feet_top,61,13,0
blocks/bed_head_end,31,10,0
blocks/bed_head_side,31,9,0
blocks/bed_head_top,80,13,0
blocks/bedrock,46,5,0
blocks/bookshelf,64,13,0
blocks/brewing_stand,130,47,0
blocks/brewing_stand_base,149,10,0
blocks/brick,37,8,0
blocks/cactus_bottom,60,7,0
blocks/cactus_side,71,7,0
blocks/cactus_top,71,7,0
blocks/cake_bottom,64,4,0
blocks/cake_inner,29,3,0
blocks/cake_side,43,3,0
blocks/cake_top,127,10,0
blocks/carrots_stage_0,71,7,0
blocks/carrots_stage_1,71,7,0
blocks/carrots_stage_2,71,7,0
blocks/carrots_stage_3,71,7,0
blocks/cauldron_bottom,38,230,0
blocks/cauldron_inner,122,230,0
blocks/cauldron_side,110,230,0
blocks/cauldron_top,76,230,0
blocks/clay,133,13,0
blocks/coal_block,155,20,0
blocks/coal_ore,84,10,0
blocks/coarse_dirt,50,4,0
blocks/cobblestone,83,10,0
blocks/cobblestone_mossy,117,8,0
blocks/cocoa_stage_0,133,8,0
blocks/cocoa_stage_1,146,8,0
blocks/cocoa_stage_2,156,8,0
blocks/command_block,136,99,8
blocks/comparator_off,115,5,0
blocks/comparator_on,115,5,14
blocks/crafting_table_front,113,29,0
blocks/crafting_table_side,104,20,0
blocks/crafting_table_top,97,14,0
blocks/daylight_detector_inverted_top,95,6,0
blocks/daylight_detector_side,70,5,0
blocks/daylight_detector_top,95,6,0
blocks/deadbush,18,10,0
blocks/diamond_block,235,150,0
blocks/diamond_ore,90,25,0
blocks/dirt,50,4,0
blocks/dirt_podzol_side,27,1,0
blocks/dirt_podzol_top,47,15,0
blocks/dispenser_front_horizontal,138,9,0
blocks/dispenser_front_vertical,114,9,0
blocks/door_acacia_lower,92,2,0
blocks/door_acacia_upper,91,5,0
blocks/door_birch_lower,79,14,0
blocks/door_birch_upper,110,14,0
blocks/door_dark_oak_lower,88,3,0
blocks/door_dark_oak_upper,87,4,0
blocks/door_iron_lower,214,230,0
blocks/door_iron_upper,214,230,0
blocks/door_jungle_lower,56,2,0
blocks/door_jungle_upper,58,5,0
blocks/door_spruce_lower,57,16,0
blocks/door_spruce_upper,58,17,0
blocks/door_wood_lower,70,2,0
blocks/door_wood_upper,74,6,0
blocks/double_plant_fern_bottom,71,7,0
blocks/double_plant_fern_top,71,7,0
blocks/double_plant_grass_bottom,71,7,0
blocks/double_plant_grass_top,71,7,0
blocks/double_plant_paeonia_bottom,71,7,0
blocks/double_plant_paeonia_top,71,7,0
blocks/double_plant_rose_bottom,71,7,0
blocks/double_plant_rose_top,71,7,0
blocks/double_plant_sunflower_back,71,7,0
blocks/double_plant_sunflower_bottom,71,7,0
blocks/double_plant_sunflower_front,71,7,0
blocks/double_plant_sunflower_top,71,7,0
blocks/double_plant_syringa_bottom,71,7,0
blocks/double_plant_syringa_top,71,7,0
blocks/dragon_egg,45,15,16
blocks/dropper_front_horizontal,138,9,0
blocks/dropper_front_vertical,112,9,0
blocks/emerald_block,228,130,0
blocks/emerald_ore,93,26,0
blocks/enchanting_table_bottom,210,120,0
blocks/enchanting_table_side,199,8,0
blocks/enchanting_table_top,118,16,0
blocks/end_stone,107,15,0
blocks/endframe_eye,144,37,46
blocks/endframe_side,141,19,0
blocks/endframe_top,144,13,0
blocks/farmland_dry,60,5,0
blocks/farmland_wet,41,40,0
blocks/fern,71,7,0
blocks/fire_layer_0,30,5,162
blocks/fire_layer_1,30,5,159
blocks/flower_allium,71,7,0
blocks/flower_blue_orchid,71,7,0
blocks/flower_dandelion,71,7,0
blocks/flower_houstonia,71,7,0
blocks/flower_oxeye_daisy,71,7,0
blocks/flower_pot,59,5,0
blocks/flower_rose,71,7,0
blocks/flower_tulip_orange,71,7,0
blocks/flower_tulip_pink,71,7,0
blocks/flower_tulip_red,71,7,0
blocks/flower_tulip_white,71,7,0
blocks/furnace_front_off,102,6,0
blocks/furnace_front_on,102,7,25
blocks/furnace_side,140,10,0
blocks/furnace_top,114,10,0
blocks/glass,210,100,0
blocks/glass_black,230,100,0
blocks/glass_blue,230,100,0
blocks/glass_brown,230,100,0
blocks/glass_cyan,230,100,0
blocks/glass_gray,230,100,0
blocks/glass_green,230,100,0
blocks/glass_light_blue,230,100,0
blocks/glass_lime,230,100,0
blocks/glass_magenta,230,100,0
blocks/glass_orange,230,100,0
blocks/glass_pane_top,230,100,0
blocks/glass_pane_top_black,230,100,0
blocks/glass_pane_top_blue,230,100,0
blocks/glass_pane_top_brown,230,100,0
blocks/glass_pane_top_cyan,230,100,0
blocks/glass_pane_top_gray,230,100,0
blocks/glass_pane_top_green,230,100,0
blocks/glass_pane_top_light_blue,230,100,0
blocks/glass_pane_top_lime,230,100,0
blocks/glass_pane_top_magenta,230,100,0
blocks/glass_pane_top_orange,230,100,0
blocks/glass_pane_top_pink,230,100,0
blocks/glass_pane_top_purple,230,100,0
blocks/glass_pane_top_red,230,100,0
blocks/glass_pane_top_silver,230,100,0
blocks/glass_pane_top_white,230,100,0
blocks/glass_pane_top_yellow,230,100,0
blocks/glass_pink,230,100,0
blocks/glass_purple,230,100,0
blocks/glass_red,230,100,0
blocks/glass_silver,230,100,0
blocks/glass_white,230,100,0
blocks/glass_yellow,230,100,0
blocks/glowstone,194,60,150
blocks/gold_block,218,231,0
blocks/gold_ore,96,37,0
blocks/grass_side,50,4,0
blocks/grass_side_overlay,12,5,0
blocks/grass_side_snowed,146,15,0
blocks/grass_top,12,5,0
blocks/gravel,68,5,0
blocks/hardened_clay,59,5,0
blocks/hardened_clay_stained_black,59,5,0
blocks/hardened_clay_stained_blue,59,5,0
blocks/hardened_clay_stained_brown,59,5,0
blocks/hardened_clay_stained_cyan,59,5,0
blocks/hardened_clay_stained_gray,59,5,0
blocks/hardened_clay_stained_green,59,5,0
blocks/hardened_clay_stained_light_blue,59,5,0
blocks/hardened_clay_stained_lime,59,5,0
blocks/hardened_clay_stained_magenta,59,5,0
blocks/hardened_clay_stained_orange,59,5,0
blocks/hardened_clay_stained_pink,59,5,0
blocks/hardened_clay_stained_purple,59,5,0
blocks/hardened_clay_stained_red,59,5,0
blocks/hardened_clay_stained_silver,59,5,0
blocks/hardened_clay_stained_white,59,5,0
blocks/hardened_clay_stained_yellow,59,5,0
blocks/hay_block_side,112,12,0
blocks/hay_block_top,114,13,0
blocks/hopper_inside,71,230,0
blocks/hopper_outside,173,230,0
blocks/hopper_top,105,230,0
blocks/ice,180,70,0
blocks/ice_packed,168,40,0
blocks/iron_bars,64,230,0
blocks/iron_block,232,230,0
blocks/iron_ore,95,15,0
blocks/iron_trapdoor,214,230,0
blocks/itemframe_background,0,0,0
blocks/jukebox_side,89,13,0
blocks/jukebox_top,83,13,0
blocks/ladder,30,6,0
blocks/lapis_block,222,20,0
blocks/lapis_ore,96,10,0
blocks/lava_flow,30,15,200
blocks/lava_still,30,15,200
blocks/leaves_acacia,60,10,0
blocks/leaves_big_oak,105,4,0
blocks/leaves_birch,73,5,0
blocks/leaves_jungle,71,7,0
blocks/leaves_oak,77,6,0
blocks/leaves_spruce,59,6,0
blocks/lever,97,10,0
blocks/log_acacia,15,10,0
blocks/log_acacia_top,9,10,0
blocks/log_big_oak,26,10,0
blocks/log_big_oak_top,20,10,0
blocks/log_birch,24,5,0
blocks/log_birch_top,20,10,0
blocks/log_jungle,14,10,0
blocks/log_jungle_top,20,10,0
blocks/log_oak,18,10,0
blocks/log_oak_top,20,10,0
blocks/log_spruce,23,10,0
blocks/log_spruce_top,21,10,0
blocks/melon_side,156,14,0
blocks/melon_stem_connected,18,10,0
blocks/melon_stem_disconnected,18,10,0
blocks/melon_top,153,14,0
blocks/mob_spawner,71,230,0
blocks/mushroom_block_inside,151,10,0
blocks/mushroom_block_skin_brown,96,10,0
blocks/mushroom_block_skin_red,148,10,0
blocks/mushroom_block_skin_stem,142,10,0
blocks/mushroom_brown,96,10,0
blocks/mushroom_red,148,10,0
blocks/mycelium_side,63,15,0
blocks/mycelium_top,70,15,0
blocks/nether_brick,37,15,0
blocks/nether_wart_stage_0,11,5,0
blocks/nether_wart_stage_1,30,5,0
blocks/nether_wart_stage_2,39,5,0
blocks/netherrack,20,10,0
blocks/noteblock,89,13,0
blocks/obsidian,210,120,0
blocks/piston_bottom,80,4,0
blocks/piston_inner,87,4,0
blocks/piston_side,104,22,0
blocks/piston_top_normal,109,25,0
blocks/piston_top_sticky,116,28,0
blocks/planks_acacia,92,11,0
blocks/planks_big_oak,92,11,0
blocks/planks_birch,92,11,0
blocks/planks_jungle,92,11,0
blocks/planks_oak,92,11,0
blocks/planks_spruce,92,11,0
blocks/portal,71,7,120
blocks/potatoes_stage_0,71,7,0
blocks/potatoes_stage_1,71,7,0
blocks/potatoes_stage_2,71,7,0
blocks/potatoes_stage_3,71,7,0
blocks/prismarine_bricks,230,20,0
blocks/prismarine_dark,194,26,0
blocks/prismarine_rough,115,33,0
blocks/pumpkin_face_off,56,15,0
blocks/pumpkin_face_on,56,15,74
blocks/pumpkin_side,52,15,0
blocks/pumpkin_stem_connected,18,10,0
blocks/pumpkin_stem_disconnected,18,10,0
blocks/pumpkin_top,130,15,0
blocks/quartz_block_bottom,220,60,0
blocks/quartz_block_chiseled,220,60,0
blocks/quartz_block_chiseled_top,220,60,0
blocks/quartz_block_lines,220,60,0
blocks/quartz_block_lines_top,220,60,0
blocks/quartz_block_side,220,60,0
blocks/quartz_block_top,220,60,0
blocks/quartz_ore,45,10,0
blocks/rail_activator,84,50,0
blocks/rail_activator_powered,84,50,32
blocks/rail_detector,102,62,0
blocks/rail_detector_powered,102,62,32
blocks/rail_golden,112,75,0
blocks/rail_golden_powered,112,75,48
blocks/rail_normal,85,50,0
blocks/rail_normal_turned,85,50,0
blocks/red_sand,32,2,0
blocks/red_sandstone_bottom,52,10,0
blocks/red_sandstone_carved,90,10,0
blocks/red_sandstone_normal,43,10,0
blocks/red_sandstone_smooth,90,10,0
blocks/red_sandstone_top,128,15,0
blocks/redstone_block,184,15,0
blocks/redstone_dust_cross,100,5,0
blocks/redstone_dust_cross_overlay,100,5,0
blocks/redstone_dust_line,100,5,0
blocks/redstone_dust_line_overlay,100,5,0
blocks/redstone_lamp_off,191,20,0
blocks/redstone_lamp_on,191,20,132
blocks/redstone_ore,88,10,0
blocks/redstone_torch_off,135,9,0
blocks/redstone_torch_on,135,9,64
blocks/reeds,71,7,0
blocks/repeater_off,151,5,0
blocks/repeater_on,151,5,32
blocks/sand,46,8,0
blocks/sandstone_bottom,52,8,0
blocks/sandstone_carved,113,10,0
blocks/sandstone_normal,43,10,0
blocks/sandstone_smooth,90,10,0
blocks/sandstone_top,128,15,0
blocks/sapling_acacia,71,7,0
blocks/sapling_birch,71,7,0
blocks/sapling_jungle,71,7,0
blocks/sapling_oak,71,7,0
blocks/sapling_roofed_oak,71,7,0
blocks/sapling_spruce,71,7,0
blocks/sea_lantern,194,60,80
blocks/slime,209,0,0
blocks/snow,146,15,0
blocks/soul_sand,35,15,0
blocks/sponge,38,11,0
blocks/sponge_wet,240,16,0
blocks/stone,77,10,0
blocks/stone_andesite,50,9,0
blocks/stone_andesite_smooth,230,20,0
blocks/stone_diorite,54,9,0
blocks/stone_diorite_smooth,230,20,0
blocks/stone_granite,38,9,0
blocks/stone_granite_smooth,230,20,0
blocks/stone_slab_side,120,20,0
blocks/stone_slab_top,120,20,0
blocks/stonebrick,70,10,0
blocks/stonebrick_carved,58,10,0
blocks/stonebrick_cracked,37,10,0
blocks/stonebrick_mossy,53,9,0
blocks/tallgrass,71,7,0
blocks/tnt_bottom,78,5,0
blocks/tnt_side,94,15,0
blocks/tnt_top,61,5,0
blocks/torch_on,135,9,128
blocks/trapdoor,43,5,0
blocks/trip_wire,230,20,0
blocks/trip_wire_source,132,142,0
blocks/vine,116,13,0
blocks/water_flow,220,40,0
blocks/water_still,220,40,0
blocks/waterlily,78,15,0
blocks/web,230,20,0
blocks/wheat_stage_0,71,7,0
blocks/wheat_stage_1,71,7,0
blocks/wheat_stage_2,71,7,0
blocks/wheat_stage_3,71,7,0
blocks/wheat_stage_4,71,7,0
blocks/wheat_stage_5,71,7,0
blocks/wheat_stage_6,71,7,0
blocks/wheat_stage_7,71,7,0
blocks/wool_colored_black,50,10,0
blocks/wool_colored_blue,50,10,0
blocks/wool_colored_brown,50,10,0
blocks/wool_colored_cyan,50,10,0
blocks/wool_colored_gray,50,10,0
blocks/wool_colored_green,50,10,0
blocks/wool_colored_light_blue,50,10,0
blocks/wool_colored_lime,50,10,0
blocks/wool_colored_magenta,50,10,0
blocks/wool_colored_orange,50,10,0
blocks/wool_colored_pink,50,10,0
blocks/wool_colored_purple,50,10,0
blocks/wool_colored_red,50,10,0
blocks/wool_colored_silver,50,10,0
blocks/wool_colored_white,50,10,0
blocks/wool_colored_yellow,50,10,0
default,64,2,0
items/apple,90,25,0
items/apple_golden,150,231,0
items/arrow,64,2,0
items/barrier,64,2,0
items/bed,80,15,0
items/beef_cooked,70,10,0
items/beef_raw,50,20,0
items/blaze_powder,64,15,30
items/blaze_rod,75,20,30
items/boat,90,11,0
items/bone,110,40,0
items/book_enchanted,64,10,0
items/book_normal,64,10,0
items/book_writable,64,10,0
items/book_written,64,10,0
items/bow_pulling_0,80,15,0
items/bow_pulling_1,80,15,0
items/bow_pulling_2,80,15,0
items/bow_standby,80,15,0
items/bowl,90,10,0
items/bread,75,5,0
items/brewing_stand,64,10,0
items/brick,40,8,0
items/bucket_empty,110,230,0
items/bucket_lava,110,230,0
items/bucket_milk,110,230,0
items/bucket_water,110,230,32
items/cake,70,10,0
items/carrot,64,5,0
items/carrot_golden,90,231,0
items/carrot_on_a_stick,80,10,0
items/cauldron,75,230,0
items/chainmail_boots,100,230,0
items/chainmail_chestplate,100,230,0
items/chainmail_helmet,100,230,0
items/chainmail_leggings,100,230,0
items/charcoal,130,20,0
items/chicken_cooked,64,20,0
items/chicken_raw,50,20,0
items/clay_ball,120,13,0
items/clock,90,230,0
items/coal,130,20,0
items/comparator,115,5,0
items/compass,80,230,0
items/cookie,64,5,0
items/diamond,200,120,0
items/diamond_axe,80,10,0
items/diamond_boots,200,120,0
items/diamond_chestplate,200,120,0
items/diamond_helmet,200,120,0
items/diamond_hoe,80,10,0
items/diamond_horse_armor,200,120,0
items/diamond_leggings,200,120,0
items/diamond_pickaxe,80,10,0
items/diamond_shovel,80,10,0
items/diamond_sword,80,10,0
items/door_acacia,66,25,0
items/door_birch,66,25,0
items/door_dark_oak,66,25,0
items/door_iron,200,230,0
items/door_jungle,66,25,0
items/door_spruce,66,25,0
items/door_wood,66,25,0
items/dye_powder_black,64,5,0
items/dye_powder_blue,64,5,0
items/dye_powder_brown,64,5,0
items/dye_powder_cyan,64,5,0
items/dye_powder_gray,64,5,0
items/dye_powder_green,64,5,0
items/dye_powder_light_blue,64,5,0
items/dye_powder_lime,64,5,0
items/dye_powder_magenta,64,5,0
items/dye_powder_orange,64,5,0
items/dye_powder_pink,64,5,0
